Name,Street,House_number,Zip_code,City,Tel,Email,Website
Deutscher Kinderschutzbund Kreisverband Limburg-Weilburg e. V.,Badehausweg,1,65520,Bad Camberg,06434 4028716,kontakt@dksb-lm.de,http://www.dksb-lm.de
Deutscher Kinderschutzbund Orts- und Kreisverband Marburg-Biedenkopf e.V.,Universitätsstr.,29,35037,Marburg,06421 67157,info@kinderschutzbund-marburg.de,http://www.kinderschutzbund-marburg.de/
Deutscher Kinderschutzbund Ried e.V.,Pestalozziweg,1,64579,Gernsheim,06258 833766,vorstand@kinderschutzbund-ried.de,www.kinderschutzbund-ried.de
Deutscher Pflegeverband (DPV) e.V.,Mittelstr.,1,56564,Neuwied,02631 838822,info@dpv-online.de,http://www.dpv-online.de/
Deutscher Schwerhörigenbund Landesverband Hessen e.V.,Rothschildallee,16a,60389,Frankfurt am Main,069 45 40 36,dsblvhessen@t-online.de,http://www.paritaet.org/hessen/dsb
Deutscher Schwerhörigenbund Ortsverein Wiesbaden e.V.,Bleichstr.,16,65183,Wiesbaden,,,http://www.paritaet.org/hessen/dsb/
Deutscher Verein für Gesundheitspflege e.V. Landesstelle Hessen,Heidelberger Landstr.,24,64297,Darmstadt,06151 9182210,sekretariat@adventisten-mrv.de,
Deutsches Jugendherbergswerk Landesverband Hessen e.V.,Berner Str.,119,60437,Frankfurt,069 609130,info@djh-hessen.de,http://www.djh-hessen.de/
DGT Dienstleistungs-Gesellschaft Taunus mbH,Voltastr.,7,65795,Hattersheim,06190 935101,a.ahrens@dg-taunus.de,http://www.dg-taunus.de/
Diabetiker Hessen e.V.,Friedrich-Ebert-Str.,5,34613,Schwalmstadt,06691 24957,info@diabetiker-he.de,http://www.diabetiker-he.de
DIE BRÜCKE - Arbeitsgemeinschaft für Bildung und Beratung e.V.,Löherstr.,37,36037,Fulda,0661 73023,info@bruecke-fulda.de,
Die Brücke e.V. Verein für psychosoziale Hilfe im Kreis Hersfeld-Rotenburg,Untere Frauen Str.,17,36251,Bad Hersfeld,06621 509512,info@diebruecke-badhersfeld.de,http://www.diebruecke-badhersfeld.de
"die brücke, Bürgerselbsthilfe Steinbach (Taunus) e.V.",Hessenring,24,61449,Steinbach/Ts.,06171 981800,bruecke-steinbach@t-online.de,http://www.bruecke-steinbach.de
DIE FLECKENBÜHLER e. V.,Fleckenbühl,6,35091,Cölbe,06427 92210,info@diefleckenbuehler.de,http://www.diefleckenbuehler.de
Die Gaukler - hort am hof e.V.,Alt Niederursel,51,60439,Frankfurt am Main,069 5890916,gaukler@der-hof.de,http://www.diegauklerhortamhof.de/
Die Hilfe e.V.,Talstr.,18,65191,Wiesbaden,0611 1874139,info@die-hilfe-ev.de,www.die-hilfe-ev.de
Die kleinen Strolche in Flieden e.V. - Verein für kreative und soziale Kinderbetreuung e.V.,Bornweg,2,36103,Flieden,06655 9871580,diekleinenstrolche-flieden@gmx.de,http://www.die-kleinen-strolche-flieden.de
Die Kopiloten e.V.,Nora-Platiel-Str.,1,34127,Kassel,,info@diekopiloten.de,http://www.diekopiloten.de
Die Lebensgemeinschaft e.V. Vereinigung von Freunden und Angehörigen behinderter Menschen Sassen und Richthof,Hofgut Sassen,,36110,Schlitz,06642 8020,buero@lebensgemeinschaft.de,http://www.lebensgemeinschaft.de
Die Rhönwichtel e.V.,Am Sportplatz,14,36145,Langenbieber,0151 59109270,vorstand@rhoen-wichtel.de,www.rhoen-wichtel.de
Die Schlammteufel e.V.,Postfach,1102,65501,Idstein,06127 9869254,info@waldkindergarten-idstein.de,http://www.waldkindergarten-idstein.de
donum vitae Regionalverband Limburg zur Förderung des Schutzes des menschlichen Lebens e.V.,Diezer Str.,38a,65549,Limburg,06431 408625,info@donumvitae-limburg.de,www.donumvitae-limburg.de
donum vitae Regionalverband Osthessen zur Förderung des Schutzes des menschlichen Lebens e.V.,Rabanusstr.,31,36037,Fulda,0661 2506710,fulda@donumvitae.org,http://www.fulda.donumvitae.org
"Dreieichhörnchen, Förderverein Kinder- und Jugendfarm Dreieich e.V.",Postfach,20 11 60,63271,Dreieich,06103 469091,vorstand@dreieichhoernchen.de,http://www.dreieichhoernchen.de/
Eber-schafts-Hilfe e.V.,Kirnberger Str.,12,64297,Darmstadt,,h.nofftz@eberschaftshilfe.de,www.eberschaftshilfe.de
EBi - Entwicklungs- und Bildungsinitiative e.V.,Heinrich-Hoffmann-Str.,3,60528,Frankfurt am Main,069 74731580,info@ebi-online.org,http://www.ebi-online.org
Echte Menschen e.V.,Wilhelmshöher Allee,25b,34117,Kassel,,kontakt@echtemenschen.net,www.echtemenschen.net
eigenMächtig e. V.,An der Losse,13,34260,Kaufungen,0561 50356182,info@eigenmaechtig.de,www.eigenmaechtig.de
Eltern helfen Eltern e.V.,Rooseveltstr.,3,35394,Gießen,0641 33330,b.ratzel@ehe-giessen.de,http://www.ehe-giessen.de/
Eltern-Kind-Initiative e.V.,Am Schwimmbad,3,63500,Seligenstadt,06182 28529,info@wildedreizehn.de,http://www.wildedreizehn.de
Elterninitiative - Die Knirpse e.V.,Kunoldstr.,36,34131,Kassel,0561 33249,DieKnirpseEV@t-online.de,
Elterninitiative Griesheimer Kinder e.V.,St.-Stephans-Platz,26,64347,Griesheim,06155 665460,info@elterninitiative-griesheim.de,http://elterninitiative-griesheim.de/
Elterninitiative Hort Beethovenschule e.V.,Starkenburgring,3,63069,Offenbach,069 83071244,,
Elterninitiative Kinderladen Eberstadt e.V.,Frankensteinerstr.,17,64297,Darmstadt,06151 596005,mail@kinderladen-eberstadt.de,http://www.kinderladen-eberstadt.de/
Elternselbsthilfe Bad Zwesten e.V.,Birkenweg,8,34596,Bad Zwesten,05626 8696,bischoff-becker@gmx.de,
Elternverein der Jenaplanschule e.V.,Schulstr.,18,35410,Hungen-Bellersheim,0151 53753941,martina.kuhn@gmx.com,http://www.grundschule-bellersheim-obbornhofen.de/
Elternverein des Hortes der Brüder-Grimm-Schule e.V.,Alter Kirchhainer Weg,8,35039,Marburg,06421/15585,,
Elternverein Kindergruppe Naunheim e.V.,Wiesenstr.,5,35584,Wetzlar,06441 36487,Rappelkiste.kindergarten@web.de,http://www.rappelkiste-naunheim.de
Elternvereinigung hörgeschädigter Kinder in Hessen e.V.,Ginsterweg,3a,61239,Ober-Mörlen,,elternvereinigung-hessen@gmx.de,
Emstaler Verein e.V.,Liemeckestr.,3,34466,Wolfhagen,05692 98690,info@emstaler-verein.de,http://www.emstaler-verein.de/
EntwicklungsWERK gemeinnützige GmbH,Hanauer Landstr.,146,60314,Frankfurt am Main,069 2691087-60,info@entwicklungs-werk.de,http://www.entwicklungs-werk.de
Erleben und Lernen im Wald - ERLEN-WALD e. V.,Danziger Str.,1d,63599,Biebergemünd,06050 907394,waldkindergarten@erlenwaldev.de,
Erziehungsstellenverein Hessen e.V.,Dieburger Str.,56c,63225,Langen,06103 8039726,info@erziehungsstellenverein.de,http://www.erziehungsstellenverein.de
Eschweger Krabbelgruppe e. V.,Reichensächserstr.,31,37269,Eschwege,05651 22220,,
Essbare Stadt e. V.,Friedrich-Ebert-Str.,149,34119,Kassel,,http://www.essbare-stadt.de/,info@essbare-stadt.de
Eßtragon gGmbH,Neue Kasseler Str.,19a,35039,Marburg,06421 686960,info@esstragon.de,http://www.esstragon.de/
EX-IN Hessen e.V.,Erlenring,20,35037,Marburg,06421 6909944,jung-marburg@web.de,www.ex-in-hessen.org
FAB gemeinnützige GmbH für Frauen Arbeit Bildung,Grüner Weg,8,61169,Friedberg,06008 9181-0,info@fab-wetterau.de,http://www.fab-wetterau.de
FaCe Familiencentrum Bad Camberg und Umgebung e.V.,Badehausweg,1,65520,Bad Camberg,06434 900939,facebadcamberg@web.de,http://familienzentrum-badcamberg.de
fambinis Familienzentrum Friedrichsdorf e.V.,Ringstr.,7,61381,Friedrichsdorf,06172 954968,kontakt@mfzfriedrichsdorf.de,http://www.mfzfriedrichsdorf.de/
Familien in Not e.V.,Bahnhofstr.,13,65307,Bad Schwalbach,06120 906832,,
Familientreff Hofheim/Mütterzentrum e.V.,Hattersheimer Str.,1,65719,Hofheim,06192 703 94 58,vorsitz1@familientreff-hofheim.de,http://www.familientreff-hofheim.de/
Familienzentrum Bensheim e.V.,Hauptstr.,81,64625,Bensheim,06251 580366,info@familienzentrum-bensheim.de,http://www.familienzentrum-bensheim.de/
Familienzentrum Das Känguruh e.V.,Friedrich-List-Str.,61,63263,Neu-Isenburg,06102 836081,info@kaenguruh-ev.info,
Familienzentrum Idstein e.V.,Veitenmühlweg,11,65510,Idstein,06126 228816,info@familienzentrum-idstein.de,http://www.familie-idstein.de
Familienzentrum Kaufungen e.V.,Theodor-Heuss-Str.,15,34260,Kaufungen,05605 927771,familienzentrum-kaufungen@web.de,http://www.familienzentrum-kaufungen.de/
Familienzentrum Mamma mia e. V.,Hintergasse,10,65239,Hochheim,06146 84177,news@familienzentrum-hochheim.de,http://www.familienzentrum-hochheim.de
Familienzentrum MüZe e.V.,Hospitalstr.,10,65549,Limburg,06431 22257,mueze-limburg@web.de,http://www.muetterzentrum-limburg.de
Familienzentrum MüZe Taunusstein e. V.,Scheidertalstr.,27,65232,Taunusstein,06128 23554,buero@mueze-taunusstein.de,http://www.mueze-taunusstein.de/
FamilienZentrum Wetzlar e.V.,Lauerstr.,1a,35578,Wetzlar,06441 46592,familienzentrum-wetzlar@gmx.net,http://www.mueze-netz.de/wetzlar/
"FATRA - Frankfurter Arbeitskreis Trauma und Exil - Psychotherapeutische, soziale und politische Unterstützung für Flüchtlinge und Verfolgte e...",Berger Str.,118,60316,Frankfurt,069 499174,fatra@t-online.de,http://www.fatra-ev.de
Feministische Mädchenarbeit e.V.,Eschersheimer Landstr.,534,60433,Frankfurt,069 531070,geschaeftsstelle@fem-ffm.de,http://www.fem-maedchenhaus.de/
Feriendorf im Odenwald e.V.,Am Kröckelbach,,64658,Fürth-Kröckelbach,06253 3149,feriendorf-kroeckelbach@t-online.de,http://www.feriendorf-kroeckelbach.de/
Flexible Jugendhilfe Darmstadt e.V.,Julius-Reiber-Str.,32,64293,Darmstadt,06151 595355,info@flexiblejugendhilfe.de,http://www.flexiblejugendhilfe.de/
Fliedner-Verein Rockenberg e.V.,Postfach,44,35517,Rockenberg,06033 66938,volker.mueller@jva-rockenberg.justiz.hessen.de,http://www.fliednerverein-rockenberg.de/
Förderband Viernheim e.V.,Friedrich-Ebert-Straße,8,68519,Viernheim,06204 - 91 23 96,info@foerderband-viernheim.de,http://www.foerderband-viernheim.de
Förderkreis Rainmühle e.V.,Mahlertshof,4,36151,Burghaun,06652 991 0,info@neue-rhoen.de,
Förderung der Bewährungshilfe in Hessen e.V.,Rudolfstraße,13 - 17,60327,Frankfurt,069 97768106,office@fbh-ev.de,http://www.fbh-ev.de/
Förderverein Burg Schlotterstein e.V. Kindertagesstätte Alter Weg,Alter Weg,60,63110,Rodgau,06106 645722,Ingo.Klabers@burg-schlotterstein.de,http://www.burg-schlotterstein.de
Förderverein der Adolf-Reichwein-Schule Langen e.V.,Zimmerstr.,60,63225,Langen,06103 946310,Foerderverein@ARS-Langen.de,
Förderverein der Alexander-Schmorell-Schule e.V.,Grenzweg,10,34125,Kassel,0561 813028,c.kaeseler@gmx.de,http://www.alexander-schmorell-schule.de/Alexander-Schmorell-Schule/FORDERVEREIN.html
Förderverein der Johann-Peter-Schäfer-Schule e. V.,Johann Peter-Schäfer-Str.,,61169,Friedberg,06045 7381,,
Förderverein der Viktor-Frankl-Schule e.V.,Fritz-Tarnow-Str.,27,60320,Frankfurt am Main,069 21235132,Gabriela.Pluciennik@stadt-frankfurt.de,http://www.viktor-frankl-schule.de
Förderverein für Bürgerhilfe Weimar e.V.,Hauptstr.,10,35096,Weimar-Wolfshausen,06421 79133,veit@foerderverein-weimar.de,http://www.foerderverein-weimar.de
Förderverein für chronisch kranke Kinder e.V. (KroKi),Feulgenstr.,10-12,35392,Gießen,,KroKiGiessen@gmx.de,http://www.kroki-giessen.de
Förderverein für seelische Gesundheit e.V.,Ludwigstr.,14,35390,Gießen,0641 975760,buescher@ifd-giessen.de,http://www.fsg-giessen.de/
Förderverein Gemeinsames Wohnen Jung und Alt e.V. Darmstadt,Arheilger Str.,68,64289,Darmstadt,06151 782840,b.bork@t-online.de,http://www.wohnprojekte-darmstadt.de/
Förderverein Hessischer Flüchtlingsrat e.V.,Leipziger Str.,17,60487,Frankfurt,069 97698710,hfr@fr-hessen.de,www.fr-hessen.de
Förderverein Hospiz Kellerwald e. V.,Gartenstr.,1,34630,Gilserberg,06696 7138,VestweberLothar@aol.com,
Förderverein KONTAKT - Freie Alten- und Krankenpflege e.V.,Leibnizstr.,5,60316,Frankfurt,,foerderverein@altenhilfe-kontakt.de,
Förderverein Roma e.V.,Niddastr.,66,60329,Frankfurt am Main,069 440123,Foerderverein.Roma@t-online.de,http://www.foerdervereinroma.de
Förderverein Schülerbetreuung Pestalozzischule e. V.,Am Sportfeld,9,68623,Lampertheim,06206 57090,info@betreuung-pestalozzischule.de,http://www.betreuung-pestalozzischule.de
Förderverein Soziale Dienste Linden e.V.,Elisabeth-Schwarzhaupt-Str.,5,35440,Linden,06403 9793013,info@fsd-linden.de,
Förderverein zur Förderung von Kindern und Jugendlichen im inklusiven Unterricht des regionalen Beratungs- und Förderzentrums Astrid-Lindgren-Schule Kassel e...,Hupfeldstr.,8,34121,Kassel,0561 313855,poststelle@lindgren.kassel.schulverwaltung.hessen.de,
"FortSchritt Nordhessen - Hilfe für cerebral bewegungsgestörte Kinder, Jugendliche und Erwachsene e...",Schöneberger Str.,3,34128,Kassel,0561 884587,mail@fortschritt-nordhessen.de,http://www.fortschritt-nordhessen.de
Forum Alter und Jugend e.V.,Postfach,11 03 61,35348,Gießen,0641 493242,alterundjugend@gmx.de,
Forum Humanistische Pädagogik und Betreuung e.V.,Frankfurter Str.,59,35037,Marburg,06421 6972222,forumbetreuung@web.de,
Forum Schmiede e.V.,Eddersbacher Berg,9,65232,Taunusstein,06128 41251,heidi.hoehn@web.de,http://www.forum-schmiede.de
Frankfurter Arbeitskreis für Psychoanalytische Pädagogik e.V.,Myliusstr.,20,60323,Frankfurt,069 701655,sekretariat@fapp-frankfurt.de,http://www.fapp-frankfurt.de/
Frankfurter Arbeitslosenzentrum e.V.,Friedberger Anlage,24,60316,Frankfurt,069 700425,zentrum@falz.org,http://www.falz.org/
Frankfurter Institut für Erziehungshilfen und Familienberatung e.V.,Münchener Straße,48,60329,Frankfurt,069 13023713,info@fief-ev.de,http://www.fief-ev.de
Frankfurter Institut für Interkulturelle Forschung und Beratung e.V.,Scheidswaldstr.,41,60385,Frankfurt am Main,069 46939794,spohn@inter-kultur.com,http://www.inter-kultur.com
FRANKFURTER KINDERHAUS Gesellschaft zur pädagogisch-therapeutischen Betreuung von Kindern und Jugendlichen mit beschränkter Haftung,Im Heimgarten,8,61352,Bad Homburg,06172 43142,frankfurter.kinderhaus@t-online.de,
Frankfurter Stiftung für Blinde und Sehbehinderte (Polytechnische Gesellschaft),Adlerflychtstr.,8-14,60318,Frankfurt,069 9551240,info@sbs-frankfurt.de,http://www.sbs-frankfurt.de
Frankfurter Therapieverbund Hessischer Guttempler-Einrichtungen gemeinnützige GmbH c/o Guttempler-Hilfswerk e...,Mahlertshof,4,36151,Burghaun,06652 9910,h.severing@fachklinik-mahlertshof.de,
Frankfurter Verband für Alten- und Behindertenhilfe e.V.,Gummersbergstr.,24,60435,Frankfurt,069 2998070,zentrale@frankfurter-verband.de,http://www.frankfurter-verband.de/
Frankfurter Verein für soziale Heimstätten e.V.,Große Seestr.,43,60486,Frankfurt,069 79405300,bereichsleitung@frankfurter-verein.de,http://www.frankfurter-verein.de/
Frankfurter Verein zur Unterstützung von psychisch kranken Kindern und Jugendlichen e.V.,Deutschordenstr.,50,60528,Frankfurt,069 6301-5049,info@verein-kinderpsychiatrie.de,
Frankfurter Zentrum für Ess-Störungen gemeinnützige GmbH,Hansaallee,18,60322,Frankfurt,069 550176,info@essstoerungen-frankfurt.de,http://www.essstoerungen-frankfurt.de/
FRAP Agentur - Gemeinnützige Gesellschaft für das Frankfurter Arbeitsmarktprogramm mbH,Vilbeler Str.,29,60313,Frankfurt/Main,069 68097-570,elfriede.dirnbacher@frap-agentur.de,http://www.frap-agentur.de
Frau-Mutter-Kind Mühlheim am Main e.V.,Hallgartenstraße,6,63165,Mühlheim am Main,06108 71563,info@frau-mutter-kind.de,http://www.frau-mutter-kind.de/
Frauen Arbeit Bildung e.V.,Grüner Weg,8,61169,Friedberg,06008 91810,info@fab-wetterau.de,http://www.fab-ev-wetterau.de/
Frauen für Kinder im Werra-Meißner-Kreis e.V.,Niederhoner Str.,22,37269,Eschwege,05651 7843,info@frauen-fuer-frauen-im-wmk.de,http://www.frauen-fuer-frauen-im-wmk.de/
Frauen helfen Frauen - Haus für Frauen und Kinder im Hochtaunuskreis e.V.,Oberhöchstadter Str.,3,61440,Oberursel,06171 580804,beratungsstelle@frauenhaus-oberursel.de,http://www.frauenhaus-oberursel.de
Frauen helfen Frauen - Hilfe zur Selbsthilfe e.V.,Postfach,1420,63404,Hanau,06181 12575,mail@frauenhaus-hanau.de,www.frauenhaus-hanau.de
Frauen helfen Frauen e.V. Waldeck-Frankenberg,Brunnenstraße,53,34537,Bad Wildungen,05621 91689,frauenberatungsstelle-wa-fkb@t-online.de,http://www.frauenhaus-badwildungen.de
Frauen helfen Frauen e.V.,Postfach,1407,36224,Bad Hersfeld,06621 65333,frauenhaus-bad-hersfeld@freenet.de,www.frauenhaus-bad-hersfeld.de
Frauen helfen Frauen e.V.,Postfach,1146,63601,Wächtersbach,06053 4987,frauenhaus-waechtersbach@gmx.de,www.frauenhaus-wächtersbach.de
"Frauen helfen Frauen, Wetterau e.V.",Postfach,10 03 27,61143,Friedberg (Hessen),06031 15353,info@frauenhaus-wetterau.de,http://www.frauenhaus-wetterau.de/
Frauen informieren Frauen e.V.,Obere Königsstr.,47,34117,Kassel,0561 893136,info@fif-kassel.de,http://www.fif-kassel.de
Frauen-Notruf Wetterau e.V.,Hinter dem Brauhaus,9,63667,Nidda,06043 4471,frauennotruf@t-online.de,http://www.frauen-notruf-wetterau.de
Frauenbildungszentrum Bad Homburg e.V.,Hessenring,84,61348,Bad Homburg,06172 84188,info@frauenbildungszentrum.de,http://www.frauenbildungszentrum.de
Frauengesundheitszentrum Neuhofstraße e.V.,Neuhofstr.,32 H,60318,Frankfurt,069 591700,info@fgzn.de,http://www.paritaet.org/hessen/fgzn/
Frauengesundheitszentrum Sirona e.V.,Schiersteiner Str.,21,65187,Wiesbaden,0611 301694,fgz-sirona@t-online.de,http://www.fgz-sirona.de/
Frauenhaus Bergstraße e.V.,Am Bildstock,8,64625,Bensheim,06251 69676,verein@frauenhaus-bergstrasse.de,http://www.frauenhaus-bergstrasse.de/
Frauenhaus Darmstadt e.V.,Bad Nauheimer Str.,9,64289,Darmstadt,06151 66860,info@frauenhaus-darmstadt.de,
Frauenhaus Wetzlar e.V.,Langgasse,70,35576,Wetzlar,06441 46364,verein@frauenhaus-wetzlar.de,http://www.frauenhaus-wetzlar.de
Frauenhilfe Frankfurt e.V.,Niedwiesenstraße,9,60431,Frankfurt,01577 2875252,info@frauenhilfe-frankfurt.de,
Frauenselbsthilfe nach Krebs Landesverband Hessen e.V.,Rauschbergstr.,7,36369,Lautertal,06643 1859,h.haase@frauenselbsthilfe.de,
Frauentreff Brückenhof – Verein zur Förderung stadtteilbezogener Frauen- und Familienbildung e.V.,Brückenhofstr.,84,34132,Kassel,0561 408388,info@frauentreff-brueckenhof.de,http://www.frauentreff-brueckenhof.de/
Frauenwelten - kultursensible psychosoziale Frauengesundheit e.V.,Schiersteiner Str.,21,65187,Wiesbaden,,office@frauenwelten-wi.de,www.frauenwelten-wi.de
Frauenwürde Ortsverein Eschborn - Verein zur Förderung von Schwangerschaftskonfliktberatung in Trägeschaft katholischer Frauen und Männer e...,Wacholder Weg,4,65760,Eschborn,06173 65220,beratung@frauenwuerde-eschborn.de,http://www.frauenwuerde-eschborn.de/
Frauenzentrum e.V.,Darmstädter Str.,101,65428,Rüsselsheim,06142 965757,info@frauenzentrum.de,http://www.frauenzentrum.de
"Frauenzimmer Rodgau, Mütterzentrum e.V.",Martin-Bihn-Str.,11,63110,Rodgau,06106 667969,vorstand@frauenzimmer-rodgau.de,
Freie Gesundheitshilfe - Ambulante Pflege und psychosoziale Betreuung e.V.,Emanuel-Geibel-Str.,18,65185,Wiesbaden,0611 379154,info@freie-gesundheitshilfe.de,http://www.freie-gesundheitshilfe.de/
Freie Lebensstudien-Gemeinschaft für soziale Hygiene e. V.,Melchiorsgrund,1,36318,Schwalmtal-Hopfgarten,06638 961133,goschia.schiller@melchiorsgrund.de,http://www.melchiorsgrund.de
Freie Schule Untertaunus e.V.,Scheidertalstr.,22,65326,Aarbergen,06120 5767,buero@freie-schule-untertaunus.de,http://www.freie-schule-untertaunus.de/
Freiwillig in Kassel e.V.,Spohrstr.,5 (Eingang kleine Rosenstr.),34117,Kassel,0561 102425,info@freiwilligenzentrumkassel.de,http://www.freiwilligenzentrumkassel.de/
freiwillig-sozial-aktiv Freiwilligenzentrum für Stadt und Landkreis Gießen e. V.,Ludwigstr.,6,35390,Gießen,0641 306-2258,freiwilligenzentrum@giessen.de,http://www.freiwillig-sozialaktiv-giessen.de
Freiwillige Suchtkrankenhilfe e.V.,Postfach,14 38,61248,Bad Homburg,06172 23233,info@f-s-h.de,http://www.f-s-h.de/
Freiwilligenagentur Marburg-Biedenkopf (FAM) e.V.,Am Grün,16,35037,Marburg,06421 270516,info@freiwilligenagentur-marburg.de,http://www.freiwilligenagentur-marburg.de/
Freiwilligenzentrum - aktiv für Alsfeld e.V.,Grabbrunnen,4,36304,Alsfeld,06631 301056,willkommen@fz-alsfeld.de,http://www.fz-alsfeld.de
Freiwilligenzentrum - aktiv für Bad-Nauheim e.V. Erika-Pitzer-Begegnungszentrum,Blücherstr.,23,61231,Bad Nauheim,06032 920359,fwz-badnauheim@web.de,http://www.fwz-badnauheim.de/
freuNde e.V. - Förderverein für Familien mit neurologisch kranken Kindern e.V.,Keplerstr.,9,34246,Vellmar,05605 5204,freunde-verein-kassel@gmx.de,http://www.kinderneuro-freunde-ks.de
Freundes- und Förderkreis der Behindertenwohnanlage Offenbach e.V.,Lilienweg,14,63165,Mühlheim,06108 66356,,
Freundeskreis Waldkrankenhaus Köppern e.V.,Emil-Sioli-Weg,1-3,61381,Friedrichsdorf,06175 7984987,info@emil-sioli.de,
Friedberger Begegnungsgarten e.V.,Friedberger Str.,7,61231,Bad Nauheim,,,
FRÖBEL Bildung und Erziehung gGmbH,Henschelstraße,16,60314,Frankfurt am Main,01525 4538301,rhein-main@froebel-gruppe.de,
GAP Zentrum für Beratung und Psychotherapie e.V.,Schwanallee,17,35037,Marburg,06421 22232,info@gap-pb-marburg.de,http://www.gap-marburg.de/
Geburtshaus Frankfurt e.V.,Böttgerstr.,22,60389,Frankfurt,069 527282,info@geburtshausfrankfurt.de,http://www.geburtshaus-frankfurt.de/
Geburtshaus Marburg e.V.,Schwanallee,31,35037,Marburg,06421 162121,info@geburtshaus-marburg.de,http://www.geburtshaus-marburg.de/
Geburtshaus und Familienzentrum e.V.,Heinrich-von-Bibra-Platz,1a,36037,Fulda,0661 32326,info@geburtshaus-fulda.de,http://www.geburtshaus-fulda.de/
"Gehörlosen Sport- und Kultur-Club ""Wetterau"" Butzbach 1987 e.V.",Schießmauer,13c,61273,Wehrheim,,krueger-duell@online.de,
Gemeinnützige Campus am Park Gesellschaft mbH,Am Campus,1,36358,Herbstein,06647 9606700,info@campus-am-park.de,www.campus-am-park.de
Gemeinnützige Genossenschaft Familienbezogene Jugendhilfe im Sozialraum eG,Am Schießhorst,7,63679,Schotten,06044 9895276,mail@vb.fajuso.de,
Gemeinnützige Gesellschaft für Sozialarbeit Bergstraße mbH,Darmstädter Str.,269,64625,Bensheim,06251 789690,g.krebs@vfk-ggs.de,http://www.vfk-ggs.de/
Gemeinnützige Gesellschaft für Sozialarbeit Jugendhaus Malchen mbH,Darmstädter Str.,269,64625,Bensheim,06251 789690,g.krebs@vfk-ggs.de,http://www.jugendhaus-malchen.de/
Gemeinnützige Offenbacher Ausbildungs- und Beschäftigungsgesellschaft mbH,Kaiserstr.,66,63065,Offenbach,069 9864880,kontakt@goab.de,http://www.goab.de/
Gemeinnütziger Verein zur Förderung systemischer Studien und Organisationsentwicklung von Humansystemen e...,Bernardstr.,112,63067,Offenbach,069 9551370,office@istup-ffm.de,http://www.istup-ffm.de/
Gemeinsam ins Alter Kassel e.V.,Distelbreite,4,34130,Kassel,0561 87970115,info@gia-kassel.de,http://www.gia-kassel.de/
Gemeinsam ins Alter Schwalmstadt e.V.,Landgraf-Karl-Str.,43,34613,Schwalmstadt,06691 22821,darmstadts@t-online.de,www.gemeinsaminsalter-schwalmstadt.de
Gemeinsam leben Frankfurt e.V.,Walter-Hesselbach-Str.,180,60389,Frankfurt,0173 3117821,vorstand@gemeinsamleben-frankfurt.de,http://www.gemeinsamleben-frankfurt.de
Gemeinsam leben Hessen e.V.,Wilhelmsplatz,2,63065,Offenbach,069 83008685,info@artycon.de,http://www.gemeinsam-leben-hessen.de
Gemeinschaft für Heilpädagogik und Sozialtherapie e.V.,Erlenweg,9,36358,Herbstein,06643 7090,info@gemeinschaft-altenschlirf.de,http://www.gemeinschaft-altenschlirf.de/
Gemeinschaft in Kehna e.V.,Kenenstr.,6,35096,Weimar-Kehna,06421 97440,info@in-Kehna.de,http://www.in-kehna.de/
Generationenhilfe Rüsselsheim e.V.,Frankfurter Str.,12,65428,Rüsselsheim,06142 62203,,
Gesellschaft Erziehung und Elternarbeit e.V.,Alt Preungesheim,2,60435,Frankfurt,069 541001,Verein@erziehung-elternarbeit.de,http://www.ahze-ffm.de/
Gesellschaft für Ausbildung und Beschäftigung mbH in Limburg-Weilburg,Im Schlenkert,14,65549,Limburg,06431 94760,office@gab-limburg.de,http://www.gab-limburg.de/
Gesellschaft für Dienste im Alter mbH (GDA),Hildesheimer Str.,187,30173,Hannover,0511 280090,info@gda.de,http://www.gda.de/
Gesellschaft für Sozialpsychiatrie im Werra-Meißner-Kreis e.V.,Steinbachstr.,5,37235,Hessisch Lichtenau,05602 8049959,martin.von-hagen@t-online.de,
Gesundheit und Alter e.V. (GesA),Kirchweg,1,34260,Kaufungen,05605 80070,info@tagespflege-lossetal.de,http://www.tagespflege-lossetal.de
Gesundheitszentrum Marbachshöhe e.V.,Ludwig-Erhard-Str.,34,34131,Kassel,0561 39385,info@gesundheitszentrum-marbachshoehe.de,http://www.gesundheitszentrum-marbachshoehe.de/
GinCo e.V.,Sandgasse,83a,64347,Griesheim,06155 76305,ginsburgswetlana@hotmail.com,http://www.ginco-ev.de
GlobaLokal e.V.,Postfach,900145,60441,Frankfurt am Main,0176 56752807,info@GlobaLokal.org,http://www.GlobaLokal.org
Glückspilze - Förderverein für Erziehung und Bildung von Kleinkindern e.V.,Ludwigstr.,90,63067,Offenbach,069 82993763,info@villakunterbunt-of.de,http://www.villakunterbunt-krippe.de
Grümel e.V. - Grüne Mülleimer für Arbeit und Leben,Propsteischloß,2a,36041,Fulda,0661 902930,info@gruemel.de,http://www.gruemel.de/
Günter-Feldmann-Zentrum e.V.,Waldschmidtstr.,115,60314,Frankfurt,069 5973181,info@feldmann-beratungszentrum.de,http://www.feldmann-beratungszentrum.de/
"Guttempler in Deutschland (I.O.G.T.), Guttempler - Landesverband Hessen e.V.",Metzlerstr.,34,60594,Frankfurt,069 61990349,info@guttemplerhessen.de,http://www.guttemplerhessen.de
